Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
33,-1.9399652946065273e+01,1.0694894551942097e+01,2.6568040768617149e+01,7.7444237689825827e+37,5.5853899133741080e-12,1.7096509694409371e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
34,-1.9360723080481161e+01,1.0710280008502106e+01,2.6567955110038199e+01,7.7444237689825303e+37,5.5853899133741080e-12,1.2383065943458200e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
35,-1.9323368608209676e+01,1.0724697394160669e+01,2.6567872701288388e+01,7.7444237689824770e+37,5.5853899133740947e-12,7.5169167817253992e+01,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
36,-1.9287441014357387e+01,1.0738240973422463e+01,2.6567793294816963e+01,7.7444237689824211e+37,5.5853899133741080e-12,2.5556233889349013e+01,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
37,-1.9242661498519609e+01,1.0754913970206756e+01,2.6567716672657866e+01,7.7444237689823651e+37,9.0459032292689531e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
38,-1.9202316215565833e+01,1.0769094241029153e+01,2.6567597977619135e+01,7.7444237689822692e+37,4.5229516146344632e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138467e-05,2.7997020236474883e-01,3.4416073257059744e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
39,-1.9176580790479405e+01,1.0778132165782796e+01,2.6567540961808391e+01,7.7444237689822204e+37,4.5229516146344632e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138467e-05,2.7997020236474883e-01,3.4416073257059744e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
40,-1.9139541989878718e+01,1.0791113099415849e+01,2.6567485385218110e+01,7.7444237689821706e+37,9.0459032292696246e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138467e-05,2.7997020236474883e-01,3.4416073257059744e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
41,-1.9091988489251809e+01,1.0807156635963770e+01,2.6567378247561008e+01,7.7444237689820685e+37,9.0459032292689531e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138467e-05,2.7997020236474883e-01,3.4416073257059749e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
42,-1.9046774317880053e+01,1.0822078955123084e+01,2.6567276053351247e+01,7.7444237689819637e+37,9.0459032292689265e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138473e-05,2.7997020236474883e-01,3.4416073257059753e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
